experiment;time;requests;results;correctness
cmatch-ldp;4471;49;1;1
cmatch-ldp;1471;42;1;1
cmatch-ldp;120112;0;1;1
cmatch-ldp;18732;44;1;1
cmatch-ldp;26832;470;10;1
cmatch-ldp;29627;382;10;1
cmatch-ldp;26072;451;10;1
cmatch-ldp;51309;385;10;1
cmatch-ldp;34717;382;10;1
call-ldp;126379;0;0;0
call-ldp;118825;0;0;0
call-ldp;118740;0;0;0
call-ldp;118573;0;0;0
call-ldp;119446;0;0;0
call-ldp;121099;0;0;0
call-ldp;119789;0;0;0
call-ldp;118919;0;0;0
call-ldp;118461;0;0;0
call-ldp;120297;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;0;0;0;0
call-ldp;118848;0;8;0.4
call-ldp;119506;0;1;0.05
call-ldp;118701;0;1;0.05
call-ldp;118954;0;1;0.05
call-ldp;118939;0;13;0.65
call-ldp;118630;0;0;0
call-ldp;118800;0;0;0
call-ldp;118981;0;0;0
call-ldp;120394;0;0;0
call-ldp;118929;0;0;0
call-ldp;118605;0;0;0
call-ldp;118931;0;0;0
call-ldp;118862;0;0;0
call-ldp;119304;0;0;0
call-ldp;119346;0;0;0
call-ldp;76082;481;10;1
call-ldp;46143;463;10;1
call-ldp;47193;443;10;1
call-ldp;109948;408;10;1
call-ldp;81999;414;10;1
cnone-ldp-idx;8140;58;6;0.75
cnone-ldp-idx;1239;57;4;0.5
cnone-ldp-idx;783;50;1;0.125
cnone-ldp-idx;2799;37;14;1.75
cnone-ldp-idx;7481;52;8;1
cnone-ldp-idx;10388;58;66;0.673469387755102
cnone-ldp-idx;1496;57;46;0.46938775510204084
cnone-ldp-idx;1072;50;32;0.32653061224489793
cnone-ldp-idx;3306;37;198;2.020408163265306
cnone-ldp-idx;9181;52;98;1
cnone-ldp-idx;0;58;0;0
cnone-ldp-idx;0;57;0;0
cnone-ldp-idx;0;50;0;0
cnone-ldp-idx;0;37;0;0
cnone-ldp-idx;0;52;0;0
cnone-ldp-idx;0;58;0;0
cnone-ldp-idx;0;57;0;0
cnone-ldp-idx;0;50;0;0
cnone-ldp-idx;0;37;0;0
